Year,Tendencial,Expansion
2022,28180.0,28180.0
2023,31483.0,31483.0
2024,29872.0,32157.0
2025,31090.0,35569.0
2026,32378.0,38392.0
2027,33447.0,40502.0
2028,34826.0,42195.0
2029,36383.0,43989.0
2030,38042.0,46084.0
2031,39651.0,48290.0
2032,41334.0,50544.0
2033,42650.42857142771,52273.85714285588
2034,44167.999999999534,54271.03571428498
2035,45685.57142857136,56268.21428571362
2036,47203.142857142724,58265.392857142724
2037,48720.71428571455,60262.57142857183
2038,50238.28571428638,62259.750000000466
2039,51755.85714285821,64256.92857142957
2040,53273.428571430035,66254.10714285867
2041,54791.0000000014,68251.28571428731
2042,56308.571428573225,70248.46428571641
2043,57826.14285714505,72245.64285714552
2044,59343.71428571688,74242.82142857416
2045,60861.28571428871,76240.00000000326
2046,62378.85714286007,78237.17857143236
2047,63896.4285714319,80234.357142861
2048,65414.000000003725,82231.5357142901
2049,66931.57142857555,84228.71428571921
2050,68449.14285714738,86225.89285714785
