central_id,caudal_id
Coca_Codo_Sinclair,coca_codo_sinclair
Molino,ingreso_amaluza
Sopladora,ingreso_amaluza
Minas_San_Francisco,agoyan
Marcel_Laniado,daule_peripa
San_Francisco,agoyan
Delsitanisagua,delsitanisagua
Mazar,mazar
Agoyan,agoyan
Pucara,agoyan
Manduriacu,coca_codo_sinclair
Due,coca_codo_sinclair
Hidrosanbartolo,delsitanisagua
Hidronormandfa,mazar
Sarapullo,coca_codo_sinclair
Baba,daule_peripa
Cumbaya,coca_codo_sinclair
Pusuno,agoyan
Abanico,mazar
Sabanilla,delsitanisagua
Nayon,coca_codo_sinclair
Topo,agoyan
Ocana,mazar
Saucay,mazar
Guangopolo_H,coca_codo_sinclair
Sigchos,agoyan
Saymirfn,mazar
Calope,agoyan
Recuperadora,coca_codo_sinclair
Sibimbe,agoyan
Alao,agoyan
Palmira-_Nanegal,coca_codo_sinclair
Rio_Verde_Chico,agoyan
Victoria,coca_codo_sinclair
El_Carmen,coca_codo_sinclair
Chalpi,coca_codo_sinclair
San_Jose_de_Tambo,agoyan
Ambi,coca_codo_sinclair
Alazan,mazar
Papallacta,coca_codo_sinclair
San_Jose_de_Minas,agoyan
Vindobona,coca_codo_sinclair
Illuchi_No.2,agoyan
Pasochoa,coca_codo_sinclair
Illuchi_No.1,agoyan
Rfo_Blanco,agoyan
Penfnsula,agoyan
San_Miguel_de_Car,agoyan
Perlabf,coca_codo_sinclair
Carlos_Mora,delsitanisagua
Loreto,coca_codo_sinclair
La_Calera,coca_codo_sinclair
Los_Chillos,coca_codo_sinclair
Geppert,coca_codo_sinclair
La_Playa,coca_codo_sinclair
Ulba,agoyan
El_Laurel,coca_codo_sinclair
Uravia,coca_codo_sinclair
Corazon,coca_codo_sinclair
Gualaceo,mazar
Buenos_Aires,coca_codo_sinclair
Hidrocarolina,coca_codo_sinclair
Fabrica_Imbabura,coca_codo_sinclair
Sillunchi_I,coca_codo_sinclair
Tilivi,agoyan
