unit_id,wave,bus,p_nom,carrier,efficiency,marginal_cost,build_year,lifetime
SMR1,W1,BUS_230KV_01,300,nuclear,0.31,0,2035,60
SMR2,W1,BUS_230KV_01,300,nuclear,0.31,0,2035,60
SMR3,W1,BUS_230KV_05,300,nuclear,0.31,0,2035,60
SMR4,W2,BUS_500KV_03,300,nuclear,0.31,0,2045,60
SMR5,W2,BUS_500KV_03,300,nuclear,0.31,0,2045,60
SMR6,W2,BUS_230KV_09,300,nuclear,0.31,0,2045,60
SMR7,W2,BUS_230KV_09,300,nuclear,0.31,0,2045,60
SMR8,W3,BUS_500KV_11,300,nuclear,0.31,0,2050,60
SMR9,W3,BUS_500KV_11,300,nuclear,0.31,0,2050,60
SMR10,W3,BUS_230KV_12,300,nuclear,0.31,0,2050,60
