Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID
Abanico,Hidraulica,Pasada,S.N.I.,Ecuador,37.99,,,,,,2000,,,-2.4303097,-77.880192,,
Agoyan,Hidraulica,Embalse,S.N.I.,Ecuador,156.0,,,,,,2000,,,-1.3319157,-78.2625285,,
Aguajal,Termica,MCI,No_Incorporado,Ecuador,2.02,,,,,,2000,,,-0.2611097,-76.9080096,,
Aguarico,Termica,MCI,No_Incorporado,Ecuador,11.7,,,,,,2000,,,-0.2886094,-76.5906632,,
Alao,Hidraulica,Pasada,S.N.I.,Ecuador,10.0,,,,,,2000,,,-1.6731483,-78.6486465,,
Alazan,Hidraulica,Pasada,S.N.I.,Ecuador,6.23,,,,,,2000,,,-2.6317292,-78.7008934,,
Altgenotec,Fotovoltaica,Fotovoltaica,S.N.I.,Ecuador,0.99,,,,,,2000,,,-2.1899066,-79.887726,,
Alvaro_Tinajero,Termica,Turbogas,S.N.I.,Ecuador,64.0,,,,,,2000,,,-2.1899066,-79.887726,,
Amazonas,Termica,MCI,No_Incorporado,Ecuador,6.14,,,,,,2000,,,0.0854,-76.8915,,
Ambi,Hidraulica,Pasada,S.N.I.,Ecuador,7.85,,,,,,2000,,,0.3327,-78.2167,,
Anaconda,Termica,MCI,No_Incorporado,Ecuador,0.98,,,,,,2000,,,-0.78618,-76.4803184,,
Angamarca,Hidraulica,Pasada,No_Incorporado,Ecuador,0.26,,,,,,2000,,,-1.0077047,-78.8559205,,
Angel_Norte,Termica,MCI,No_Incorporado,Ecuador,0.35,,,,,,2000,,,-0.2611097,-76.9080096,,
Anibal_Santos_(Gas),Termica,Turbogas,S.N.I.,Ecuador,97.0,,,,,,2000,,,-2.1899066,-79.887726,,
Anibal_Santos_(Vapor),Termica,Turbovapor,S.N.I.,Ecuador,20.0,,,,,,2000,,,-2.1899066,-79.887726,,
Araza,Termica,MCI,No_Incorporado,Ecuador,0.82,,,,,,2000,,,-0.2886094,-76.5906632,,
Arcolands_Shushufindi,Termica,MCI,No_Incorporado,Ecuador,8.14,,,,,,2000,,,-0.2886094,-76.5906632,,
Atuntaqui,Hidraulica,Pasada,S.N.I.,Ecuador,0.32,,,,,,2000,,,0.3327,-78.2167,,
Auca,Termica,MCI,No_Incorporado,Ecuador,11.39,,,,,,2000,,,-0.78618,-76.4803184,,
Auca_51,Termica,MCI,No_Incorporado,Ecuador,4.23,,,,,,2000,,,-0.78618,-76.4803184,,
Auca_Central,Termica,MCI,No_Incorporado,Ecuador,2.04,,,,,,2000,,,-0.78618,-76.4803184,,
Auca_Sur,Termica,MCI,No_Incorporado,Ecuador,18.98,,,,,,2000,,,-0.78618,-76.4803184,,
Baba,Hidraulica,Embalse,S.N.I.,Ecuador,42.0,,,,,,2000,,,-0.7482926,-79.5297122,,
Baltra_Eolico,Eolica,Eolica,No_Incorporado,Ecuador,2.25,,,,,,2000,,,-0.6663,-90.3333,,
Baltra_Solar,Fotovoltaica,Fotovoltaica,No_Incorporado,Ecuador,0.07,,,,,,2000,,,-0.6663,-90.3333,,
Bermejo_Este,Termica,MCI,No_Incorporado,Ecuador,0.15,,,,,,2000,,,0.0807,-77.5649,,
Bermejo_Sur_1008,Termica,MCI,No_Incorporado,Ecuador,1.06,,,,,,2000,,,0.0807,-77.5649,,
Bermejo_Sur_12,Termica,MCI,No_Incorporado,Ecuador,0.86,,,,,,2000,,,0.0807,-77.5649,,
Brineforcorp,Fotovoltaica,Fotovoltaica,S.N.I.,Ecuador,1.0,,,,,,2000,,,-0.4373946,-80.3761409,,
Buenos_Aires,Hidraulica,Pasada,S.N.I.,Ecuador,0.95,,,,,,2000,,,0.5973,-78.2069,,
Calope,Hidraulica,Pasada,S.N.I.,Ecuador,15.0,,,,,,2000,,,-0.7841909,-79.1010573,,
Cami,Termica,MCI,No_Incorporado,Ecuador,0.04,,,,,,2000,,,-0.78618,-76.4803184,,
Carcelen,Hidraulica,Pasada,No_Incorporado,Ecuador,0.06,,,,,,2000,,,-0.215492,-78.5013648,,
Carlos_Mora,Hidraulica,Pasada,S.N.I.,Ecuador,2.4,,,,,,2000,,,-4.0042008,-78.9577754,,
