Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID
Normandia,Hidroelectrico,Embalse,S.N.I.,Ecuador,49.6,,,,,,2018,,,-2.4303097,-77.880192,,
Delsitanisagua,Hidroelectrico,Embalse,S.N.I.,Ecuador,180.0,,,,,,2018,,,-4.0042008,-78.9577754,,
Minas_-_San_Francisco,Hidroelectrico,Embalse,S.N.I.,Ecuador,274.5,,,,,,2019,,,-3.1748913,-79.5147127,,
Pusuno,Hidroelectrico,Embalse,S.N.I.,Ecuador,39.5,,,,,,2019,,,-0.9438718,-78.1083982,,
Rio_Verde_Chico,Hidroelectrico,Embalse,S.N.I.,Ecuador,10.0,,,,,,2019,,,-1.3319157,-78.2625285,,
San_Jose_de_Minas,Hidroelectrico,Embalse,S.N.I.,Ecuador,5.95,,,,,,2020,,,-0.215492,-78.5013648,,
Machala_Gas_Tercera_Unidad,Termoelectrico,MCI,S.N.I.,Ecuador,77.0,,,,,,2020,,,-3.2413487,-79.8296713,,
Mazar-Dudas:_San_Antonio,Hidroelectrico,Embalse,S.N.I.,Ecuador,7.19,,,,,,2020,,,-2.6317292,-78.7008934,,
Minas_de_Huascachaca,Eolico,Eolica,S.N.I.,Ecuador,50.0,,,,,,2020,,,-3.6169,-79.2391,,
Machala_Gas_Ciclo_Combinado,Termoelectrico,MCI,S.N.I.,Ecuador,110.0,,,,,,2021,,,-3.2413487,-79.8296713,,
Piatua,Hidroelectrico,Embalse,S.N.I.,Ecuador,30.0,,,,,,2021,,,-1.2935,-77.90067,,
Chalpi_Grande,Hidroelectrico,Embalse,S.N.I.,Ecuador,7.59,,,,,,2021,,,-0.2222967,-78.5234313,,
Toachi_-_Pilaton_Expa,Hidroelectrico,Embalse,S.N.I.,Ecuador,254.4,,,,,,2021,,,-0.4984774,-78.6516915,,
La_Magdalena,Hidroelectrico,Embalse,S.N.I.,Ecuador,20.0,,,,,,2021,,,0.3955234,-78.4507013,,
Maravilla,Hidroelectrico,Embalse,S.N.I.,Ecuador,9.0,,,,,,2021,,,-0.215492,-78.5013648,,
Ibarra_Fugua,Hidroelectrico,Embalse,S.N.I.,Ecuador,30.0,,,,,,2021,,,0.5289,-77.5389,,
Mazar-Dudas:_Dudas,Hidroelectrico,Embalse,S.N.I.,Ecuador,7.38,,,,,,2021,,,-2.6317292,-78.7008934,,
Sabanilla,Hidroelectrico,Embalse,S.N.I.,Ecuador,30.0,,,,,,2021,,,-4.0042008,-78.9577754,,
El_Salto,Hidroelectrico,Embalse,S.N.I.,Ecuador,30.0,,,,,,2022,,,0.0864955,-79.052577,,
Chorrillos,Hidroelectrico,Embalse,S.N.I.,Ecuador,4.0,,,,,,2022,,,-4.0042008,-78.9577754,,
Central_Soldados,Hidroelectrico,Embalse,S.N.I.,Ecuador,7.2,,,,,,2022,,,-2.9006,-79.0045,,
Bloque_de_ERNC_I_Exp,ERNC,Fotovoltaica,S.N.I.,Ecuador,500.0,,,,,,2022,,,-4.0343,-79.2408,,
Soldados_Yanuncay_2,Hidroelectrico,Embalse,S.N.I.,Ecuador,14.6,,,,,,2023,,,-2.9006,-79.0045,,
Quijos,Hidroelectrico,Embalse,S.N.I.,Ecuador,50.0,,,,,,2023,,,-0.2222967,-78.5234313,,
Santa_Cruz,Hidroelectrico,Embalse,S.N.I.,Ecuador,100.0,,,,,,2024,,,-3.609,-78.446,,
Paute_-_Cardenillo,Hidroelectrico,Embalse,S.N.I.,Ecuador,595.6,,,,,,2026,,,-2.6204,-78.4403,,
"Santiago_(G8),_Fase_I",Hidroelectrico,Embalse,S.N.I.,Ecuador,1200.0,,,,,,2026,,,-2.8434,-78.4867,,
"Santiago_(G8),_Fase_II",Hidroelectrico,Embalse,S.N.I.,Ecuador,1200.0,,,,,,2027,,,-2.8434,-78.4867,,
Nuclear_2_GYE,Nuclear,Nuclear,S.N.I.,Ecuador,2000.0,,,,,,2040,,,-2.1899066,-79.887726,,
Nuclear_1_TSL,Nuclear,Nuclear,S.N.I.,Ecuador,1000.0,,,,,,2030,,,-1.316,-78.621,,
