province,longitude,latitude
azuay,-79.3270,-2.8974
bolivar,-79.1990,-1.6800
canar,-79.2570,-2.5550
carchi,-78.7830,0.6800
chimborazo,-78.8080,-1.7500
cotopaxi,-78.6840,-0.8940
el_oro,-79.8240,-3.5280
esmeraldas,-79.6550,0.9170
galapagos,-90.4500,-0.5600
guayas,-79.9840,-2.1800
imbabura,-78.3570,0.3620
loja,-79.3310,-3.9830
los_rios,-79.4950,-1.3500
manabi,-80.3980,-0.9610
morona_santiago,-78.1030,-2.5310
napo,-77.6790,-0.9200
orellana,-76.8980,-0.8200
pastaza,-78.1220,-1.5650
pichincha,-78.5840,-0.0440
santa_elena,-80.6120,-2.2200
santo_domingo_de_los_tsachilas,-79.2840,-0.3790
sucumbios,-76.8820,0.0870
tungurahua,-78.4820,-1.2590
zamora_chinchipe,-78.8510,-3.9390
