Ano de entrada en operacion,Proyecto / Central,Empresa / Institucion,Tipo,Power,Energy,Provincia,Canton,Bus,Comentario
2026,Aroma Santo Solar,Neoen S.A.,Fotovoltaico,17.6,34.346,Loja,Sozoranga,B69_LOJA_SUR,Bloque 1 ERNC Fotovoltaico _capacidad según PEG
2026,Nariapura,Total Eren S.A.,Fotovoltaico,60,147.296,Imbabura,Ibarra,B138_NARIAPURA,Bloque 1 ERNC Fotovoltaico _capacidad según PEG
2026,Urcuqui,Dominion Energy S.A.,Fotovoltaico,60,135.417,Imbabura,San Miguel de Urcuqui,B138_URCUQUI,Bloque 1 ERNC Fotovoltaico _capacidad según PEG
2026,Ambi,Neoen S.A.,Fotovoltaico,60,144.637,Imbabura,Antonio Ante,B138_AMBI,Bloque 1 ERNC Fotovoltaico _capacidad según PEG
2026,Imbabura Solar,Neoen S.A.,Fotovoltaico,60,150.492,Imbabura,Ibarra,B138_IMBABURA_SOLAR,Bloque 1 ERNC Fotovoltaico _capacidad según PEG
2026,Intiyana Solar,Neoen S.A.,Fotovoltaico,60,150.908,Imbabura,San Miguel de Urcuqui,B138_INTIYANA,Bloque 1 ERNC Fotovoltaico _capacidad según PEG
2026,Bloque 1 ERNC: Eolico - 45 MW,Los adjudicatorios del PPS,Eolico,45,181.3,Loja,Yanahurcu,B230_SAN_IDELFONSO,"Bloque 1 ERNC eólico _ubicado en cluster Yanahurcu (Loja), evacuación vía San Idelfonso 230 kV"
2027,El Rosario,Consorcio El Rosario Energy (ECOENER),Hidroelectrico,49.5,313.823,Morona Santiago,El Rosario,B69_GUALAQUIZA,Bloque 1 ERNC hidro _Central El Rosario en cantón Gualaquiza (Morona Santiago)
2027,Santa Rosa,Consorcio Santa Rosa Energy (ECOENER),Hidroelectrico,49.5,294.288,Morona Santiago,Santa Rosa,B69_GUALAQUIZA,Bloque 1 ERNC hidro _Central Santa Rosa en cantón Gualaquiza (Morona Santiago)
2027,San Jacinto,Consorcio San Jacinto,Hidroelectrico,49.9,304.13,Santo Domingo de los Tsáchilas,San Jacinto,B69_SANTO_DOMINGO,Bloque 1 ERNC hidro _Central San Jacinto en Santo Domingo de los Tsáchilas (parroquia Alluriquín)
2027,Aroma Santo Solar B2,Neoen S.A.,Fotovoltaico,9.421,18.155,Loja,Sozoranga,B69_LOJA_SUR,Bloque 2 ERNC Fotovoltaico _expansión proporcional de Bloque 1
2027,Nariapura B2,Total Eren S.A.,Fotovoltaico,32.116,61.893,Imbabura,Ibarra,B138_NARIAPURA,Bloque 2 ERNC Fotovoltaico _expansión proporcional de Bloque 1
2027,Urcuqui B2,Dominion Energy S.A.,Fotovoltaico,32.116,61.893,Imbabura,San Miguel de Urcuqui,B138_URCUQUI,Bloque 2 ERNC Fotovoltaico _expansión proporcional de Bloque 1
2027,Ambi B2,Neoen S.A.,Fotovoltaico,32.116,61.893,Imbabura,Antonio Ante,B138_AMBI,Bloque 2 ERNC Fotovoltaico _expansión proporcional de Bloque 1
