Name                                  , Bus, v_nom, symbol    , under_construction, tag_substation, tag_area, lon       , lat      , country, substation_lv, x         , y        , substation_off, type, carrier, unit, v_mag_pu_set, v_mag_pu_min, v_mag_pu_max, control, generator, sub_network, v_nom_raw, Year
Chorrillos500                         , 500,   500, substation, False             , transmission  ,        0, -79.954   , -2.033   , EC     , False        , -79.954   , -2.033   , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       500, 2022
Taday500                              , 501,   500, substation, False             , transmission  ,        0, -78.78    , -2.78    , EC     , False        , -78.78    , -2.78    , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       500, 2022
Pasaje500                             , 502,   500, substation, False             , transmission  ,        0, -79.806   , -3.326   , EC     , False        , -79.806   , -3.326   , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       500, 2022
Santiago500                           , 503,   500, substation, False             , transmission  ,        0, -78.97    , -4.04    , EC     , False        , -78.97    , -4.04    , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       500, 2022
LasEsclusas230                        , 504,   230, substation, False             , transmission  ,        0, -79.899   , -2.239   , EC     , False        , -79.899   , -2.239   , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       230, 2022
LasOrquideas230                       , 505,   230, substation, False             , transmission  ,        0, -79.8     , -2.133   , EC     , False        , -79.8     , -2.133   , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       230, 2022
Quevedo230                            , 506,   230, substation, False             , transmission  ,        0, -79.47    , -1.05    , EC     , False        , -79.47    , -1.05    , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       230, 2022
SanGregorio230                        , 507,   230, substation, False             , transmission  ,        0, -79.96    , -1.41    , EC     , False        , -79.96    , -1.41    , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       230, 2022
SanIdelfonso230                       , 508,   230, substation, False             , transmission  ,        0, -79.58    , -1.02    , EC     , False        , -79.58    , -1.02    , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       230, 2022
Palestina230                          , 509,   230, substation, False             , transmission  ,        0, -79.79    , -1.96    , EC     , False        , -79.79    , -1.96    , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       230, 2022
Taday230                              , 510,   230, substation, False             , transmission  ,        0, -78.78    , -2.78    , EC     , False        , -78.78    , -2.78    , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       230, 2022
Delsitanisagua230                     , 511,   230, substation, False             , transmission  ,        0, -78.505   , -3.598   , EC     , False        , -78.505   , -3.598   , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       230, 2022
Cumbaratza230                         , 512,   230, substation, False             , transmission  ,        0, -78.969   , -3.989   , EC     , False        , -78.969   , -3.989   , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       230, 2022
Bomboiza230                           , 513,   230, substation, False             , transmission  ,        0, -78.746   , -3.317   , EC     , False        , -78.746   , -3.317   , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       230, 2022
Chorrillos230                         , 514,   230, substation, False             , transmission  ,        0, -79.954   , -2.033   , EC     , False        , -79.954   , -2.033   , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       230, 2022
LagoChongon230                        , 515,   230, substation, False             , transmission  ,        0, -80.1     , -2.23    , EC     , False        , -80.1     , -2.23    , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       230, 2022
SanJuandeManta230                     , 516,   230, substation, False             , transmission  ,        0, -80.708   , -0.947   , EC     , False        , -80.708   , -0.947   , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       230, 2022
GuayaquilNuclear500                   , 517,   500, substation, False             , transmission  ,        0, -79.918   , -2.157   , EC     , False        , -79.918   , -2.157   , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       500, 2035
CuencaNuclear500                      , 518,   500, substation, False             , transmission  ,        0, -78.982   , -2.897   , EC     , False        , -78.982   , -2.897   , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       500, 2035
Auxiliar_204                          , 601,   230, substation, False             , transmission  ,        0, -79.558   , -2.5297  , EC     , False        , -79.558   , -2.5297  , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,        69, 2022
Auxiliar_64                           , 664,   230, substation, False             , transmission  ,        0, -79.686   , -1.989   , EC     , False        , -79.686   , -1.989   , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       230, 2022
Auxiliar_90                           , 690,   230, substation, False             , transmission  ,        0, -79.951   , -2.185   , EC     , False        , -79.951   , -2.185   , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       230, 2022
Auxiliar_97                           , 697,   230, substation, False             , transmission  ,        0, -79.49    , -1.051   , EC     , False        , -79.49    , -1.051   , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       230, 2022
Sarapullo69                           , 698,    69, substation, False             , transmission  ,        0, -78.651691, -0.498477, EC     , False        , -78.651691, -0.498477, True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,        69, 2023
Minas_de_Huascachaca69                , 699,    69, substation, False             , transmission  ,        0, -79.2396  , -3.6223  , EC     , False        , -79.2396  , -3.6223  , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,        69, 2023
Huayquichuma69                        , 700,    69, substation, False             , transmission  ,        0, -79.610905, -3.687303, EC     , False        , -79.610905, -3.687303, True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,        69, 2023
Alluriquin138                         , 701,   138, substation, False             , transmission  ,        0, -78.651691, -0.498477, EC     , False        , -78.651691, -0.498477, True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       138, 2024
El_Aromo138                           , 702,   138, substation, False             , transmission  ,        0, -80.822217, -1.032177, EC     , False        , -80.822217, -1.032177, True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       138, 2025
Villonaco_III138                      , 703,   138, substation, False             , transmission  ,        0, -79.201666, -4.058888, EC     , False        , -79.201666, -4.058888, True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       138, 2025
Chorrillos69                          , 704,    69, substation, False             , transmission  ,        0, -79.916067, -2.1637  , EC     , False        , -79.916067, -2.1637  , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,        69, 2025
El_Salto69                            , 705,    69, substation, False             , transmission  ,        0, -79.973803, -3.261109, EC     , False        , -79.973803, -3.261109, True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,        69, 2026
lbarra_Fugua69                        , 706,    69, substation, False             , transmission  ,        0, -78.133128, 0.388304 , EC     , False        , -78.133128, 0.388304 , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,        69, 2026
Maravilla69                           , 707,    69, substation, False             , transmission  ,        0, -77.7763  , -0.8167  , EC     , False        , -77.7763  , -0.8167  , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,        69, 2027
La_Magdalena69                        , 708,    69, substation, False             , transmission  ,        0, -78.020833, -0.149167, EC     , False        , -78.020833, -0.149167, True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,        69, 2027
Paute_Cardenillo230                   , 709,   230, substation, False             , transmission  ,        0, -78.281772, -3.793905, EC     , False        , -78.281772, -3.793905, True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       230, 2030
Santiago_081_Fase_I500                , 710,   500, substation, False             , transmission  ,        0, -78.00558 , -3.04743 , EC     , False        , -78.00558 , -3.04743 , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,       500, 2031
Urcuqui69                             , 711,    69, substation, False             , transmission  ,        0, -78.2069  , 0.5973   , EC     , False        , -78.2069  , 0.5973   , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,        69, 2026
El_Rosario69                          , 712,    69, substation, False             , transmission  ,        0, -78.5     , -2.8333  , EC     , False        , -78.5     , -2.8333  , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,        69, 2027
Santa_Rosa69                          , 713,    69, substation, False             , transmission  ,        0, -78.3833  , -2.8     , EC     , False        , -78.3833  , -2.8     , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,        69, 2027
San_Jacinto69                         , 714,    69, substation, False             , transmission  ,        0, -79.25    , -0.25    , EC     , False        , -79.25    , -0.25    , True          ,     , AC     ,     ,            1,            0, inf         , PQ     ,          ,            ,        69, 2027
