Line,num_parallel,v_nom,bus0,bus1,length,dc,geometry,bounds,carrier,type,s_max_pu,s_nom,underwater_fraction,v_nom_raw,x,r,g,b,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,capital_cost,build_year,lifetime,terrain_factor,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,s_nom_pu,project,bus0_name,bus1_name,bus0_match_name,bus1_match_name,build_half,circuits_planned,circuits_in_service,v_nom_design,conductor,action,notes,source_text,Year,year
806,2,138.0,,,18.0,False,,,AC,243-AL1/39-ST1A 20.0,1.0,308.3396847634115,0.0,230.0,0.0,0.0,0.0,0.0,308.3396847634115,False,0.0,inf,0.0,2026,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Delsitanisagua_Cumbaratza_138,Delsitanisagua,Cumbaratza,,,H2,2,2,,1200 ACAR,add_line,,"• Línea de transmisión Delsitanisagua – Cumbaratza 138 kV, doble circuito, 1200 ACAR, 18 km.",2026,2026
807,2,230.0,513.0,,30.0,False,,,AC,Al/St 240/40 2-bundle 220.0,1.0,1027.7989492113718,0.0,230.0,0.0,0.0,0.0,0.0,1027.7989492113718,False,0.0,inf,0.0,2026,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Bomboiza_Los_Encuentros_230,Bomboiza,Los Encuentros,Bomboiza230,,H2,2,2,,1200 ACAR,add_line,,"• Línea de Transmisión Bomboiza – Los Encuentros 230 kV, doble circuito , 1200 ACAR, 30 km.",2026,2026
808,1,230.0,512.0,,45.0,False,,,AC,Al/St 240/40 2-bundle 220.0,1.0,513.8994746056859,0.0,230.0,0.0,0.0,0.0,0.0,513.8994746056859,False,0.0,inf,0.0,2026,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Cumbaratza_Los_Encuentros_230,Cumbaratza,Los Encuentros,Cumbaratza230,,H2,2,1,,1200 ACAR,add_line,,"• Línea de Transmisión Cumbaratza – Los Encuentros 230 kV, doble circuito (montaje inicial de uno), 1200 ACAR, 45 km.",2026,2026
809,2,230.0,,,15.5,False,,,AC,Al/St 240/40 2-bundle 220.0,1.0,1027.7989492113718,0.0,230.0,0.0,0.0,0.0,0.0,1027.7989492113718,False,0.0,inf,0.0,2026,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Tisaleo_Totoras_230,Tisaleo,Totoras,,,H2,2,2,,ACAR 750 MCM,add_line,Bullet indicates tie-in/seccionamiento elsewhere; represented here as direct Tisaleo–Totoras line.,"• Línea de Transmisión,15,5 km, 230 kV, haz de 2 conductores ACAR 750 MCM, doble circuito, seccionamiento circuito Totoras",2026,2026
810,2,138.0,,507.0,23.0,False,,,AC,243-AL1/39-ST1A 20.0,1.0,308.3396847634115,0.0,230.0,0.0,0.0,0.0,0.0,308.3396847634115,False,0.0,inf,0.0,2027,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Jaramijo_San_Gregorio_138,Jaramijo,San Gregorio,,SanGregorio138,H2,2,2,,1200 ACAR,add_line,,"• Línea de Transmisión Jaramijó – San Gregorio, doble circuito, 23 km aproximadamente, 1200 ACAR, 138 kV, montaje inicial",2027,2027
811,2,138.0,735.0,,70.4,False,,,AC,243-AL1/39-ST1A 20.0,1.0,308.3396847634115,0.0,230.0,0.0,0.0,0.0,0.0,308.3396847634115,False,0.0,inf,0.0,2027,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Posorja_Lago_de_Chongon_138,Posorja,Lago de Chongon,Posorja138,,H1,2,2,230.0,1200 ACAR,add_line,Design 230 kV but initially energized at 138 kV.,"• Línea de Transmisión Posorja – Lago de Chongón, 230 kV; 70,4 km, doble circuito, 1200 ACAR, doble circuito (línea energizada",2027,2027
812,2,230.0,,508.0,12.5,False,,,AC,Al/St 240/40 2-bundle 220.0,1.0,1027.7989492113718,0.0,230.0,0.0,0.0,0.0,0.0,1027.7989492113718,False,0.0,inf,0.0,2027,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Bajo_Alto_San_Idelfonso_230,Bajo Alto,San Idelfonso,,SanIdelfonso230,H1,2,2,,1200 ACAR,add_line,,"• Línea de Transmisión Bajo Alto – San Idelfonso, doble circuito, 230 kV, 1200 ACAR, 12,5 km.",2027,2027
813,1,230.0,731.0,733.0,10.0,False,,,AC,Al/St 240/40 2-bundle 220.0,1.0,513.8994746056859,0.0,230.0,0.0,0.0,0.0,0.0,513.8994746056859,False,0.0,inf,0.0,2027,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Duran_Brisas_230,Duran,Las Brisas,DuranNorte230,LasBrisas230,H2,1,1,,1200 ACAR,add_line,,"• Línea de Transmisión Durán – Brisas, 230 kV, 1200 ACAR, 10 km.",2027,2027
814,1,230.0,731.0,731.0,10.0,False,,,AC,Al/St 240/40 2-bundle 220.0,1.0,513.8994746056859,0.0,230.0,0.0,0.0,0.0,0.0,513.8994746056859,False,0.0,inf,0.0,2027,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Duran_Duran_Norte_230,Duran,Duran Norte,DuranNorte230,DuranNorte230,H2,1,1,,1200 ACAR,add_line,,"• Línea de Transmisión Durán – Durán Norte, 230 kV, 1200 ACAR, 10 km.",2027,2027
815,1,230.0,737.0,,18.0,False,,,AC,Al/St 240/40 2-bundle 220.0,1.0,513.8994746056859,0.0,230.0,0.0,0.0,0.0,0.0,513.8994746056859,False,0.0,inf,0.0,2027,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Mazar_Taday_230,Mazar,Taday,MazarFlotante230,,H2,1,1,,1200 ACAR,add_line,,"• Línea Mazar – Taday 230 kV de 18 km, 1200 ACAR, 1 circuito.",2027,2027
816,1,230.0,736.0,,28.0,False,,,AC,Al/St 240/40 2-bundle 220.0,1.0,513.8994746056859,0.0,230.0,0.0,0.0,0.0,0.0,513.8994746056859,False,0.0,inf,0.0,2027,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Urcuqui_Pimampiro_230,Urcuqui,Pimampiro,Urcuqui230,,H2,1,1,,1200 ACAR,add_line,,"• Línea de Transmisión Urcuquí – Pimampiro 230 kV, 1200 ACAR, doble circuito, 28 km (montaje inicial de un circuito).",2027,2027
817,1,500.0,,502.0,207.0,False,,,AC,Al/St 240/40 4-bundle 380.0,1.0,2234.345541763852,0.0,230.0,0.0,0.0,0.0,0.0,2234.345541763852,False,0.0,inf,0.0,2027,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Chorrillos_Pasaje_500_L1,Chorrillos,Pasaje,,Pasaje500,H2,2,1,,,add_line,Double-circuit corridor with initial installation of 1 circuit.,"• Línea de Transmisión Chorrillos – Pasaje 500 kV, 207 km, doble circuito, con montaje inicial de uno, fases en haz de cuatro",2027,2027
818,1,500.0,502.0,,71.0,False,,,AC,Al/St 240/40 4-bundle 380.0,1.0,2234.345541763852,0.0,230.0,0.0,0.0,0.0,0.0,2234.345541763852,False,0.0,inf,0.0,2027,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Pasaje_Frontera_500,Pasaje,Frontera,Pasaje500,,H2,2,1,,,add_line,Double-circuit corridor with initial installation of 1 circuit.,"• Línea de Transmisión Pasaje - Frontera 500 kV, 71 km, doble circuito, con montaje inicial de uno, fases en haz de cuatro",2027,2027
819,2,230.0,,,25.0,False,,,AC,Al/St 240/40 2-bundle 220.0,1.0,1027.7989492113718,0.0,230.0,0.0,0.0,0.0,0.0,1027.7989492113718,False,0.0,inf,0.0,2028,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Chorrillos_Lago_de_Chongon_230,Chorrillos,Lago de Chongon,,,H2,2,2,,1200 ACAR,add_line,,"• Línea de transmisión Chorrillos – Lago de Chongón 230 kV de 25 km, doble circuito, 1200 ACAR.",2028,2028
820,1,230.0,,508.0,53.0,False,,,AC,Al/St 240/40 2-bundle 220.0,1.0,513.8994746056859,0.0,230.0,0.0,0.0,0.0,0.0,513.8994746056859,False,0.0,inf,0.0,2028,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_El_Pimo_San_Idelfonso_230,El Pimo,San Idelfonso,,SanIdelfonso230,H2,1,1,,1200 ACAR,add_line,,"• Línea de Transmisión El Pimo – San Idelfonso 230 kV, 1200 ACAR, un circuito, 53 km.",2028,2028
821,1,230.0,,,20.0,False,,,AC,Al/St 240/40 2-bundle 220.0,1.0,513.8994746056859,0.0,230.0,0.0,0.0,0.0,0.0,513.8994746056859,False,0.0,inf,0.0,2028,inf,1.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,LT_Membrillo_Matala_230,Membrillo,Matala,,,H2,1,1,,1200 ACAR,add_line,,"• Línea de Transmisión Membrillo - Matala, 20 km, 230 kV, 1200 ACAR, simple circuito.",2028,2028
