Transformer,Unnamed: 0,bus0,bus1,country,geometry,x,s_nom,type,model,r,g,b,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,capital_cost,num_parallel,tap_ratio,tap_side,tap_position,phase_shift,build_year,lifetime,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,Year,year
TR_DuranNorte_230_138_2027,,731,732,EC,"LINESTRING (-79.83 -2.16, -79.83 -2.16)",0.1,2000.0,,t,0.01,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,1.0,1.0,0,0.0,0.0,2027,inf,-inf,inf,0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,2027,2027
TR_LaAvanzada_230_138_2025,,726,727,EC,"LINESTRING (-79.9 -3.25, -79.9 -3.25)",0.1,2000.0,,t,0.01,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,1.0,1.0,0,0.0,0.0,2025,inf,-inf,inf,0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,2025,2025
TR_LasEsclusas_230_138_2027,,504,720,EC,"LINESTRING (-79.899 -2.239, -79.899 -2.239)",0.1,2000.0,,t,0.01,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,1.0,1.0,0,0.0,0.0,2027,inf,-inf,inf,0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,2027,2027
TR_NuevaMacas_230_138_2026,,728,729,EC,"LINESTRING (-78.11 -2.31, -78.11 -2.31)",0.1,2000.0,,t,0.01,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,1.0,1.0,0,0.0,0.0,2026,inf,-inf,inf,0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,2026,2026
TR_SanIdelfonso_230_138_2027,,508,721,EC,"LINESTRING (-79.58 -1.02, -79.58 -1.02)",0.1,2000.0,,t,0.01,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,1.0,1.0,0,0.0,0.0,2027,inf,-inf,inf,0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,2027,2027
TR_Pasaje500_500_230_2031,,502,100,EC,"LINESTRING (-79.806 -3.326, -79.8953 -3.2773)",0.1,2000.0,,t,0.01,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,1.0,1.0,0,0.0,0.0,2031,inf,-inf,inf,0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,2031,2031
TR_Taday500_500_230_2031,,501,85,EC,"LINESTRING (-78.78 -2.78, -78.758 -2.6697)",0.1,2000.0,,t,0.01,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,1.0,1.0,0,0.0,0.0,2031,inf,-inf,inf,0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,2031,2031
TR_Bloque_1_de_generacion_firme_400_MW230_230_138_2024,,766,99,EC,"LINESTRING (-79.8296713 -3.2413487, -79.8963 -3.2783)",0.1,2000.0,,t,0.01,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,1.0,1.0,0,0.0,0.0,2024,inf,-inf,inf,0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,2024,2024
TR_Bloque_2_de_generacion_firme_300_MW230_230_138_2025,,767,60,EC,"LINESTRING (-79.838047 -2.169728, -79.8341 -2.1691)",0.1,2000.0,,t,0.01,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,1.0,1.0,0,0.0,0.0,2025,inf,-inf,inf,0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,2025,2025
TR_Cajas230_230_138_2025,,724,28,EC,"LINESTRING (-78.12 0.35, -78.1608 0.3597)",0.1,2000.0,,t,0.01,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,1.0,1.0,0,0.0,0.0,2025,inf,-inf,inf,0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,2025,2025
TR_LasOrquideas230_230_138_2026,,505,60,EC,"LINESTRING (-79.8 -2.133, -79.8341 -2.1691)",0.1,2000.0,,t,0.01,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,1.0,1.0,0,0.0,0.0,2026,inf,-inf,inf,0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,2026,2026
TR_NuevaProsperina230_230_138_2026,,730,24,EC,"LINESTRING (-79.93 -2.11, -79.9559 -2.0342)",0.1,2000.0,,t,0.01,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,1.0,1.0,0,0.0,0.0,2026,inf,-inf,inf,0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,2026,2026
TR_LasBrisas230_230_138_2027,,733,60,EC,"LINESTRING (-79.9 -2.15, -79.8341 -2.1691)",0.1,2000.0,,t,0.01,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,1.0,1.0,0,0.0,0.0,2027,inf,-inf,inf,0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,2027,2027
TR_SanJuandeManta230_230_138_2027,,516,38,EC,"LINESTRING (-80.708 -0.947, -80.6914 -0.9928)",0.1,2000.0,,t,0.01,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,1.0,1.0,0,0.0,0.0,2027,inf,-inf,inf,0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,2027,2027
