Bus,v_nom,symbol,under_construction,tag_substation,tag_area,lon,lat,country,substation_lv,x,y,substation_off,v_nom_raw,type,carrier,unit,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network
1,230.0,substation,False,transmission,0.0,-78.6894,-1.6514,EC,False,-78.6894,-1.6514,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
3,138.0,substation,False,transmission,0.0,-80.8885,-2.2294,EC,False,-80.8885,-2.2294,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
4,138.0,substation,False,transmission,0.0,-78.4389,-0.0539,EC,True,-78.4389,-0.0539,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
5,230.0,substation,False,transmission,0.0,-78.4379,-0.0529,EC,False,-78.4379,-0.0529,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
7,138.0,substation,False,transmission,0.0,-78.5362,-0.3642,EC,False,-78.5362,-0.3642,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
8,230.0,substation,False,transmission,0.0,-78.5352,-0.3632,EC,False,-78.5352,-0.3632,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
10,138.0,substation,False,transmission,0.0,-78.6084,-0.7942,EC,False,-78.6084,-0.7942,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
11,138.0,substation,False,transmission,0.0,-78.5989,-1.2984,EC,True,-78.5989,-1.2984,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
12,230.0,substation,False,transmission,0.0,-78.5979,-1.2974,EC,False,-78.5979,-1.2974,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
14,138.0,substation,False,transmission,0.0,-78.6025,-1.2207,EC,False,-78.6025,-1.2207,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
16,138.0,substation,False,transmission,0.0,-79.9009,-2.2404,EC,False,-79.9009,-2.2404,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
17,230.0,substation,False,transmission,0.0,-79.8999,-2.2394,EC,False,-79.8999,-2.2394,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
19,138.0,substation,False,transmission,0.0,-76.9985,-0.4282,EC,False,-76.9985,-0.4282,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
21,138.0,substation,False,transmission,0.0,-79.4916,-1.0523,EC,False,-79.4916,-1.0523,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
22,230.0,substation,False,transmission,0.0,-79.4906,-1.0513,EC,False,-79.4906,-1.0513,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
24,138.0,substation,False,transmission,0.0,-79.9559,-2.0342,EC,False,-79.9559,-2.0342,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
25,230.0,substation,False,transmission,0.0,-79.9549,-2.0332,EC,False,-79.9549,-2.0332,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
26,500.0,substation,False,transmission,0.0,-79.9539,-2.0322,EC,False,-79.9539,-2.0322,True,500.0,,AC,,1.0,0.0,inf,PQ,,0
28,138.0,substation,False,transmission,0.0,-78.1608,0.3597,EC,False,-78.1608,0.3597,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
30,138.0,substation,False,transmission,0.0,-78.1398,-2.3411,EC,False,-78.1398,-2.3411,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
32,230.0,substation,False,transmission,0.0,-78.6335,-2.5883,EC,False,-78.6335,-2.5883,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
33,138.0,substation,False,transmission,0.0,-79.7786,-3.1322,EC,True,-79.7786,-3.1322,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
34,230.0,substation,False,transmission,0.0,-79.7776,-3.1312,EC,False,-79.7776,-3.1312,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
36,138.0,substation,False,transmission,0.0,-77.7216,0.7731,EC,False,-77.7216,0.7731,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
38,138.0,substation,False,transmission,0.0,-80.6914,-0.9928,EC,False,-80.6914,-0.9928,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
40,230.0,substation,False,transmission,0.0,-79.9808,-2.1267,EC,False,-79.9808,-2.1267,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
42,138.0,substation,False,transmission,0.0,-79.6844,0.9052,EC,False,-79.6844,0.9052,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
43,230.0,substation,False,transmission,0.0,-79.6834,0.9062,EC,False,-79.6834,0.9062,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
45,230.0,substation,False,transmission,0.0,-78.9117,0.218,EC,False,-78.9117,0.218,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
47,138.0,substation,False,transmission,0.0,-78.9843,-2.8795,EC,False,-78.9843,-2.8795,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
48,230.0,substation,False,transmission,0.0,-78.9833,-2.8785,EC,False,-78.9833,-2.8785,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
50,138.0,substation,False,transmission,0.0,-79.202,-3.9606,EC,False,-79.202,-3.9606,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
51,138.0,substation,False,transmission,0.0,-78.2922,-2.7378,EC,True,-78.2922,-2.7378,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
52,138.0,substation,False,transmission,0.0,-78.5105,-2.5756,EC,True,-78.5105,-2.5756,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
53,230.0,substation,False,transmission,0.0,-78.5095,-2.5746,EC,False,-78.5095,-2.5746,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
55,138.0,substation,False,transmission,0.0,-77.9947,-1.4582,EC,False,-77.9947,-1.4582,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
56,138.0,substation,False,transmission,0.0,-79.7526,-0.927,EC,True,-79.7526,-0.927,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
58,138.0,substation,False,transmission,0.0,-80.3437,-2.6328,EC,False,-80.3437,-2.6328,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
60,138.0,substation,False,transmission,0.0,-79.8341,-2.1691,EC,False,-79.8341,-2.1691,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
