Generator,bus,carrier,p_nom,control,type,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,q_set,sign,marginal_cost_quadratic,build_year,lifetime,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,province,marginal_cost,capital_cost,notes
Coca_Codo_Sinclair,257,hydro,1500.0,Slack,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,1500.0,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Molino,52,hydro,1075.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,1075.0,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Sopladora,52,hydro,487.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,487.0,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Minas_San_Francisco,159,hydro,270.0,Slack,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,270.0,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Marcel_Laniado,56,hydro,213.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,213.0,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
San_Francisco,110,hydro,230.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,230.0,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Delsitanisagua,159,hydro,180.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,180.0,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Mazar,52,hydro,170.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,170.0,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Agoyan,110,hydro,160.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,160.0,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Gonzalo_Zevallos_Vapor,271,oil,146.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,146.0,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Trinitaria,271,oil,133.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,133.0,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Termogas_Machala_I,279,oil,138.56,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,138.56,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Jaramijo,273,oil,149.22,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,149.22,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Esmeraldas_I,186,oil,132.5,Slack,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,132.5,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Termogas_Machala_II,279,oil,136.8,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,136.8,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Victoria_II,271,oil,115.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,115.0,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Anfbal_Santos_Gas,271,oil,113.27,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,113.27,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Enrique_Garcfa,271,oil,102.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,102.0,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Esmeraldas_II,186,oil,100.2,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,100.2,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
San_Carlos,158,biomass,78.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,78.0,,95.0,3000.0,"Assumes CF=0.80, CRF=0.0858, FOM≈4%; aligns with IRENA biomass LCOE ranges."
Pucara,66,hydro,73.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,73.0,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Santa_Elena_II,146,oil,90.1,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,90.1,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Manduriacu,256,hydro,63.36,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,63.36,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Due,161,hydro,64.3,Slack,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,64.3,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Alvaro_Tinajero,271,oil,94.8,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,94.8,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Santa_Rosa,111,oil,71.1,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,71.1,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Huascachaca,159,onwind,49.98,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,49.98,El Oro,45.0,1154.0,"CF=0.35, CRF=0.0858; consistent with IRENA 2023 onshore wind."
Hidrosanbartolo,159,hydro,49.98,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,49.98,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Hidronormandfa,51,hydro,49.58,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,49.58,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Sarapullo,111,hydro,48.45,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,48.45,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Guangopolo2,111,oil,52.2,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,52.2,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Jivino_III,161,oil,44.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,44.0,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Baba,107,hydro,42.2,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,42.2,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Quevedo_II,56,oil,47.6,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,47.6,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Santa_Elena_III,146,oil,41.7,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,41.7,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Cumbaya,111,hydro,40.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,40.0,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Miraflores,273,oil,49.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,49.0,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Pusuno,196,hydro,38.25,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,38.25,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Abanico,51,hydro,38.45,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,38.45,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Ecoelectric,277,biomass,36.5,Slack,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,36.5,,95.0,3000.0,"Assumes CF=0.80, CRF=0.0858, FOM≈4%; aligns with IRENA biomass LCOE ranges."
Generoca,271,oil,38.12,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,38.12,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
G._Hernandez,111,oil,34.32,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,34.32,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Sabanilla,159,hydro,36.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,36.0,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Nayon,111,hydro,29.7,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,29.7,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Ecudos_A-G,158,biomass,29.8,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,29.8,,95.0,3000.0,"Assumes CF=0.80, CRF=0.0858, FOM≈4%; aligns with IRENA biomass LCOE ranges."
Topo,110,hydro,29.2,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,29.2,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Ocana,197,hydro,26.1,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,26.1,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Selva_Alegre,256,oil,29.28,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,29.28,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Saucay,65,hydro,24.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,24.0,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Guangopolo_T,111,oil,22.5,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,22.5,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Guangopolo_H,111,hydro,20.92,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,20.92,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Anfbal_Santos_Vapor,271,oil,34.5,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,34.5,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Gonzalo_Zevallos_Gas,271,oil,26.27,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,26.27,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Sigchos,281,hydro,18.6,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,18.6,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Manta_II,273,oil,20.4,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,20.4,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
El_Descanso,85,oil,19.2,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,19.2,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Catamayo,159,oil,19.74,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,19.74,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Villonaco,123,onwind,16.5,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,16.5,El Oro,45.0,1154.0,"CF=0.35, CRF=0.0858; consistent with IRENA 2023 onshore wind."
Saymirfn,65,hydro,15.52,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,15.52,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Calope,107,hydro,16.6,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,16.6,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
