Line,num_parallel,v_nom,bus0,bus1,length,dc,carrier,type,s_max_pu,s_nom,underwater_fraction,v_nom_raw,x,r,g,b,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,capital_cost,build_year,lifetime,terrain_factor,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,s_nom_pu
0,2.0,230.0,8,5,45.75498723063577,False,AC,Al/St 240/40 2-bundle 220.0,0.7,1027.7989492113718,0.0,230.0,6.886125578210683,1.372649616919073,0.0,0.0003593588293721504,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.00013017250620436072,2.594800788126792e-05,0.0,19.010082073786755,0.00013017250620436072,2.594800788126792e-05,1027.7989492113718,1.0
1,2.0,230.0,81,8,60.38996986793471,False,AC,Al/St 240/40 2-bundle 220.0,0.7,1027.7989492113718,0.0,230.0,9.088690465124174,1.8116990960380412,0.0,0.0004743017142190317,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0001718088934806082,3.424761996291193e-05,0.0,25.090560682186776,0.0001718088934806082,3.424761996291193e-05,1027.7989492113718,1.0
2,2.0,138.0,4,73,19.801065978842747,False,AC,243-AL1/39-ST1A 20.0,0.7,308.3396847634115,0.0,138.0,3.1681705566148395,1.1761833191432591,0.0,0.00013685514350723416,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.00016636056272919763,6.176135891321461e-05,0.0,2.6062693529517675,0.00016636056272919763,6.176135891321461e-05,308.3396847634115,1.0
3,2.0,138.0,111,7,8.552634318927097,False,AC,243-AL1/39-ST1A 20.0,0.7,308.3396847634115,0.0,138.0,1.3684214910283357,0.5080264785442696,0.0,5.911156491939889e-05,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,7.185578087735432e-05,2.667645865071779e-05,0.0,1.1257206423250323,7.185578087735432e-05,2.667645865071779e-05,308.3396847634115,1.0
4,2.0,138.0,73,111,15.955405855552648,False,AC,243-AL1/39-ST1A 20.0,0.7,308.3396847634115,0.0,138.0,2.5528649368884238,0.9477511078198273,0.0,0.0001102758488058651,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.00013405087885362443,4.976638877440807e-05,0.0,2.100093264658895,0.00013405087885362443,4.976638877440807e-05,308.3396847634115,1.0
6,1.0,138.0,10,7,49.75301120663367,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,15.920963586122776,5.91065773134808,0.0,0.0001719340639508041,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0008360094300631577,0.0003103685009109473,0.0,3.274312313879113,0.0008360094300631577,0.0003103685009109473,154.16984238170576,1.0
7,1.0,138.0,10,66,42.47231056291004,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,13.591139380131212,5.045710494873712,0.0,0.00014677376872996458,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0007136704148357074,0.0002649501415077564,0.0,2.7951596516934454,0.0007136704148357074,0.0002649501415077564,154.16984238170576,1.0
8,2.0,230.0,12,8,110.72243459133398,False,AC,Al/St 240/40 2-bundle 220.0,0.7,1027.7989492113718,0.0,230.0,16.663726405995764,3.321673037740019,0.0,0.0008696119677492781,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0003150042798864984,6.279155080793987e-05,0.0,46.002473093936814,0.0003150042798864984,6.279155080793987e-05,1027.7989492113718,1.0
9,1.0,138.0,71,73,7.348123711569519,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,2.351399587702246,0.8729570969344589,0.0,2.5393292616929343e-05,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.00012347193802259222,4.583895699088736e-05,0.0,0.4835898645968024,0.00012347193802259222,4.583895699088736e-05,154.16984238170576,1.0
10,1.0,138.0,7,71,10.78476912242037,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,3.451126119174518,1.28123057174354,0.0,3.726948659022366e-05,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.00018121855278169073,6.727738772020269e-05,0.0,0.7097601026242194,0.00018121855278169073,6.727738772020269e-05,154.16984238170576,1.0
