Name,Name,carrier,Technology,component,Country,p_nom,DateIn,DateRetrofit,lat,lon,projectID,carrier_norm,bus
Coca_Codo_Sinclair,Coca_Codo_Sinclair,hydro,Pasada,S.N.I.,Ecuador,1500.0,2050.0,2050.0,-0.3386642,-77.809851,Coca_Codo_Sinclair,hidraulica,257
Molino,Molino,hydro,Embalse,S.N.I.,Ecuador,1075.0,2050.0,2050.0,-2.7051608,-78.6014387,Molino,hidraulica,52
Sopladora,Sopladora,hydro,Pasada,S.N.I.,Ecuador,487.0,2050.0,2050.0,-2.7051608,-78.6014387,Sopladora,hidraulica,52
Minas_San_Francisco,Minas_San_Francisco,hydro,Pasada,S.N.I.,Ecuador,270.0,2050.0,2050.0,-3.1748913,-79.5147127,Minas_San_Francisco,hidraulica,159
Marcel_Laniado,Marcel_Laniado,hydro,Embalse,S.N.I.,Ecuador,213.0,2050.0,2050.0,-0.9910107,-79.6642365,Marcel_Laniado,hidraulica,56
San_Francisco,San_Francisco,hydro,Pasada,S.N.I.,Ecuador,230.0,2050.0,2050.0,-1.3319157,-78.2625285,San_Francisco,hidraulica,110
Delsitanisagua,Delsitanisagua,hydro,Pasada,S.N.I.,Ecuador,180.0,2050.0,2050.0,-4.0042008,-78.9577754,Delsitanisagua,hidraulica,159
Mazar,Mazar,hydro,Embalse,S.N.I.,Ecuador,170.0,2050.0,2050.0,-2.7051608,-78.6014387,Mazar,hidraulica,52
Agoyan,Agoyan,hydro,Pasada,S.N.I.,Ecuador,160.0,2050.0,2050.0,-1.3319157,-78.2625285,Agoyan,hidraulica,110
Gonzalo_Zevallos_Vapor,Gonzalo_Zevallos_Vapor,oil,Turbovapor,S.N.I.,Ecuador,146.0,2050.0,2050.0,-2.1899066,-79.887726,Gonzalo_Zevallos_Vapor,termica,271
Trinitaria,Trinitaria,oil,Turbovapor,S.N.I.,Ecuador,133.0,2050.0,2050.0,-2.1899066,-79.887726,Trinitaria,termica,271
Termogas_Machala_I,Termogas_Machala_I,oil,Turbogas,S.N.I.,Ecuador,138.56,2050.0,2050.0,-3.2413487,-79.8296713,Termogas_Machala_I,termica,279
Jaramijo,Jaramijo,oil,MCI,S.N.I.,Ecuador,149.22,2050.0,2050.0,-0.9739097,-80.6020847,Jaramijo,termica,273
Esmeraldas_I,Esmeraldas_I,oil,Turbovapor,S.N.I.,Ecuador,132.5,2050.0,2050.0,0.7343619,-79.3858867,Esmeraldas_I,termica,186
Termogas_Machala_II,Termogas_Machala_II,oil,Turbogas,S.N.I.,Ecuador,136.8,2050.0,2050.0,-3.2413487,-79.8296713,Termogas_Machala_II,termica,279
Victoria_II,Victoria_II,oil,Turbogas,S.N.I.,Ecuador,115.0,2050.0,2050.0,-2.1899066,-79.887726,Victoria_II,termica,271
Anfbal_Santos_Gas,Anfbal_Santos_Gas,oil,Turbogas,S.N.I.,Ecuador,113.27,2050.0,2050.0,-2.1899066,-79.887726,Anfbal_Santos_Gas,termica,271
Enrique_Garcfa,Enrique_Garcfa,oil,Turbogas,S.N.I.,Ecuador,102.0,2050.0,2050.0,-2.1899066,-79.887726,Enrique_Garcfa,termica,271
