Transformer, Unnamed: 0, bus0, bus1, country, geometry                                         , x  , s_nom , type, model, r   , g  , b  , s_nom_mod, s_nom_extendable, s_nom_min, s_nom_max, s_max_pu, capital_cost, num_parallel, tap_ratio, tap_side, tap_position, phase_shift, build_year, lifetime, v_ang_min, v_ang_max, sub_network, x_pu, r_pu, g_pu, b_pu, x_pu_eff, r_pu_eff, s_nom_opt
transf_2_0 ,        249,    4,    5, EC     , "LINESTRING (-78.4389 -0.0539, -78.4379 -0.0529)", 0.1, 2000.0,     , t    , 0.01, 0.0, 0.0,       0.0, False           ,       0.0, inf      ,      1.0,          0.0,          1.0,       1.0,        0,            0,         0.0,          0, inf     , -inf     , inf      ,           0,  0.1, 0.01,  0.0,  0.0,      0.0,      0.0,       0.0
transf_3_1 ,        251,    7,    8, EC     , "LINESTRING (-78.5362 -0.3642, -78.5352 -0.3632)", 0.1, 2000.0,     , t    , 0.01, 0.0, 0.0,       0.0, False           ,       0.0, inf      ,      1.0,          0.0,          1.0,       1.0,        0,            0,         0.0,          0, inf     , -inf     , inf      ,           0,  0.1, 0.01,  0.0,  0.0,      0.0,      0.0,       0.0
transf_5_0 ,        253,   11,   12, EC     , "LINESTRING (-78.5989 -1.2984, -78.5979 -1.2974)", 0.1, 2000.0,     , t    , 0.01, 0.0, 0.0,       0.0, False           ,       0.0, inf      ,      1.0,          0.0,          1.0,       1.0,        0,            0,         0.0,          0, inf     , -inf     , inf      ,           0,  0.1, 0.01,  0.0,  0.0,      0.0,      0.0,       0.0
transf_7_1 ,        256,   16,   17, EC     , "LINESTRING (-79.9009 -2.2404, -79.8999 -2.2394)", 0.1, 2000.0,     , t    , 0.01, 0.0, 0.0,       0.0, False           ,       0.0, inf      ,      1.0,          0.0,          1.0,       1.0,        0,            0,         0.0,          0, inf     , -inf     , inf      ,           0,  0.1, 0.01,  0.0,  0.0,      0.0,      0.0,       0.0
transf_9_1 ,        259,   21,   22, EC     , "LINESTRING (-79.4916 -1.0523, -79.4906 -1.0513)", 0.1, 2000.0,     , t    , 0.01, 0.0, 0.0,       0.0, False           ,       0.0, inf      ,      1.0,          0.0,          1.0,       1.0,        0,            0,         0.0,          0, inf     , -inf     , inf      ,           0,  0.1, 0.01,  0.0,  0.0,      0.0,      0.0,       0.0
transf_10_1,        261,   24,   25, EC     , "LINESTRING (-79.9559 -2.0342, -79.9549 -2.0332)", 0.1, 2000.0,     , t    , 0.01, 0.0, 0.0,       0.0, False           ,       0.0, inf      ,      1.0,          0.0,          1.0,       1.0,        0,            0,         0.0,          0, inf     , -inf     , inf      ,           0,  0.1, 0.01,  0.0,  0.0,      0.0,      0.0,       0.0
transf_10_2,        262,   25,   26, EC     , "LINESTRING (-79.9549 -2.0332, -79.9539 -2.0322)", 0.1, 2000.0,     , t    , 0.01, 0.0, 0.0,       0.0, False           ,       0.0, inf      ,      1.0,          0.0,          1.0,       1.0,        0,            0,         0.0,          0, inf     , -inf     , inf      ,           0,  0.1, 0.01,  0.0,  0.0,      0.0,      0.0,       0.0
transf_14_0,        266,   33,   34, EC     , "LINESTRING (-79.7786 -3.1322, -79.7776 -3.1312)", 0.1, 2000.0,     , t    , 0.01, 0.0, 0.0,       0.0, False           ,       0.0, inf      ,      1.0,          0.0,          1.0,       1.0,        0,            0,         0.0,          0, inf     , -inf     , inf      ,           0,  0.1, 0.01,  0.0,  0.0,      0.0,      0.0,       0.0
transf_18_1,        271,   42,   43, EC     , "LINESTRING (-79.6844 0.9052, -79.6834 0.9062)"  , 0.1, 2000.0,     , t    , 0.01, 0.0, 0.0,       0.0, False           ,       0.0, inf      ,      1.0,          0.0,          1.0,       1.0,        0,            0,         0.0,          0, inf     , -inf     , inf      ,           0,  0.1, 0.01,  0.0,  0.0,      0.0,      0.0,       0.0
transf_20_1,        274,   47,   48, EC     , "LINESTRING (-78.9843 -2.8795, -78.9833 -2.8785)", 0.1, 2000.0,     , t    , 0.01, 0.0, 0.0,       0.0, False           ,       0.0, inf      ,      1.0,          0.0,          1.0,       1.0,        0,            0,         0.0,          0, inf     , -inf     , inf      ,           0,  0.1, 0.01,  0.0,  0.0,      0.0,      0.0,       0.0
